N,state,n,kind,theta,theta_deg,parity_mean,parity_std,n_runs,parity_sem,source_file
4,GHZ,7,angular,0.6283185307179586,36.0,0.80126953125,0.0117390774220422,2,0.0083007812499999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.6806784082777885,39.0,0.83203125,0.0069053396600248,2,0.0048828125,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.7330382858376184,42.0,0.8349609375,0.0303834945041094,2,0.0214843749999999,2. wesh7plus_angular_20250901_121951.csv
4,GHZ,7,angular,0.7853981633974483,45.0,0.83935546875,0.0393604360621418,2,0.0278320312499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.3665191429188092,21.0,0.1318359375,0.0138106793200497,2,0.009765625,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.4712388980384689,27.0,0.2568359375,0.0386699020961393,2,0.0273437499999999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.5235987755982988,30.0,0.35888671875,0.0296929605381069,2,0.02099609375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.5759586531581288,33.0,0.45947265625,0.026930824674097,2,0.0190429687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.6283185307179586,36.0,0.54443359375,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.6806784082777885,39.0,0.59765625,0.0207160189800746,2,0.0146484375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.7330382858376184,42.0,0.6171875,0.0138106793200497,2,0.009765625,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,3,angular,0.7853981633974483,45.0,0.62744140625,0.0020716018980074,2,0.0014648437499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.3665191429188092,21.0,0.12939453125,0.0186444170820671,2,0.01318359375,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.4712388980384689,27.0,0.26416015625,0.0200254850140721,2,0.0141601562499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.5235987755982988,30.0,0.3828125,0.0110485434560398,2,0.0078125,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.5759586531581288,33.0,0.44677734375,0.0089769415580323,2,0.0063476562499999,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.6283185307179586,36.0,0.51611328125,0.0103580094900373,2,0.00732421875,2. wesh7plus_angular_20250901_121951.csv
4,PRODUCT,5,angular,0.6806784082777885,39.0,0.57373046875,0.0048337377620174,2,0.0034179687499999,2. wesh7plus_angular_20250901_121951.csv
