state,theta,T_us,n,parity_abs,omega_rad_s,Gamma_raw
PRODUCT,0.5235987755982988,3.5,2,0.3740234375,1795195.8020513104,280981.9475482306
GHZ,0.5235987755982988,3.5,3,0.6953125,2692793.7030769656,103826.8269107078
PRODUCT,0.5235987755982988,3.5,3,0.458984375,2692793.7030769656,222496.8888272425
GHZ,0.5235987755982988,3.5,4,0.7666015625,3590391.604102621,75939.45366201276
PRODUCT,0.5235987755982988,3.5,4,0.4794921875,3590391.604102621,210007.9079442664
GHZ,0.5235987755982988,3.5,5,0.7509765625,4487989.505128276,81823.0960268026
PRODUCT,0.5235987755982988,3.5,5,0.4140625,4487989.505128276,251925.24296214155
GHZ,0.5235987755982988,3.5,6,0.7294921875,5385587.406153931,90116.17727618168
PRODUCT,0.5235987755982988,3.5,6,0.439453125,5385587.406153931,234921.2065243108
GHZ,0.5235987755982988,3.5,8,0.744140625,7180783.208205242,84435.78568937338
PRODUCT,0.5235987755982988,3.5,8,0.4375,7180783.208205242,236193.8780527051
GHZ,0.5235987755982988,3.5,10,0.7529296875,8975979.010256551,81080.98058174961
PRODUCT,0.5235987755982988,3.5,10,0.4150390625,8975979.010256551,251252.1819071532
GHZ,0.5235987755982988,4.5,1,0.724609375,698131.7007977318,71582.7916515717
PRODUCT,0.5235987755982988,4.5,1,0.4287109375,698131.7007977318,188216.08722761812
GHZ,0.5235987755982988,4.5,2,0.7275390625,1396263.4015954635,70686.13049330968
PRODUCT,0.5235987755982988,4.5,2,0.447265625,1396263.4015954635,178800.58255228182
GHZ,0.5235987755982988,4.5,3,0.7216796875,2094395.1023931955,72483.08547805584
PRODUCT,0.5235987755982988,4.5,3,0.447265625,2094395.1023931955,178800.58255228182
GHZ,0.5235987755982988,4.5,4,0.71484375,2792526.803190927,74598.0648084759
PRODUCT,0.5235987755982988,4.5,4,0.455078125,2792526.803190927,174952.48254973494
GHZ,0.5235987755982988,4.5,5,0.732421875,3490658.503988659,69199.68868202154
PRODUCT,0.5235987755982988,4.5,5,0.4443359375,3490658.503988659,180260.9748107784
GHZ,0.5235987755982988,4.5,6,0.724609375,4188790.204786391,71582.7916515717
PRODUCT,0.5235987755982988,4.5,6,0.4326171875,4188790.204786391,186200.45234540387
GHZ,0.5235987755982988,4.5,8,0.7275390625,5585053.606381854,70686.13049330968
PRODUCT,0.5235987755982988,4.5,8,0.45703125,5585053.606381854,174000.7799292903
GHZ,0.5235987755982988,4.5,10,0.74609375,6981317.007977318,65089.78142954058
PRODUCT,0.5235987755982988,4.5,10,0.4345703125,6981317.007977318,185199.44965182507
GHZ,0.7853981633974483,2.5,1,0.904296875,1256637.0614359174,40239.02838130949
PRODUCT,0.7853981633974483,2.5,1,0.693359375,1256637.0614359174,146482.7342256368
GHZ,0.7853981633974483,2.5,2,0.890625,2513274.122871835,46332.72621004869
PRODUCT,0.7853981633974483,2.5,2,0.7021484375,2513274.122871835,141444.17915136256
GHZ,0.7853981633974483,2.5,3,0.904296875,3769911.184307752,40239.02838130949
PRODUCT,0.7853981633974483,2.5,3,0.7109375,3769911.184307752,136468.30296110688
GHZ,0.7853981633974483,2.5,4,0.890625,5026548.24574367,46332.72621004869
PRODUCT,0.7853981633974483,2.5,4,0.734375,5026548.24574367,123494.19265984531
GHZ,0.7853981633974483,2.5,5,0.9072265625,6283185.307179587,38945.22671424583
PRODUCT,0.7853981633974483,2.5,5,0.734375,6283185.307179587,123494.19265984531
GHZ,0.7853981633974483,2.5,6,0.908203125,7539822.368615504,38514.88778086059
PRODUCT,0.7853981633974483,2.5,6,0.7099609375,7539822.368615504,137018.13122637352
GHZ,0.7853981633974483,2.5,8,0.876953125,10053096.49148734,52520.694918901405
PRODUCT,0.7853981633974483,2.5,8,0.708984375,10053096.49148734,137568.71630986282
GHZ,0.7853981633974483,2.5,10,0.890625,12566370.614359174,46332.72621004869
PRODUCT,0.7853981633974483,2.5,10,0.7138671875,12566370.614359174,134823.33833986984
GHZ,0.7853981633974483,3.5,1,0.8662109375,897597.9010256552,41036.235225678174
PRODUCT,0.7853981633974483,3.5,1,0.7265625,897597.9010256552,91265.93450467465
GHZ,0.7853981633974483,3.5,2,0.8544921875,1795195.8020513104,44927.97692623962
PRODUCT,0.7853981633974483,3.5,2,0.740234375,1795195.8020513104,85939.54855916613
GHZ,0.7853981633974483,3.5,3,0.86328125,2692793.7030769656,42004.21227480276
PRODUCT,0.7853981633974483,3.5,3,0.75,2692793.7030769656,82194.87784336598
GHZ,0.7853981633974483,3.5,4,0.869140625,3590391.604102621,40071.52653521931
PRODUCT,0.7853981633974483,3.5,4,0.7470703125,3590391.604102621,83313.13479226206
GHZ,0.7853981633974483,3.5,5,0.8681640625,4487989.505128276,40392.73431015672
PRODUCT,0.7853981633974483,3.5,5,0.76953125,4487989.505128276,74849.63306902113
GHZ,0.7853981633974483,3.5,6,0.8720703125,5385587.406153931,39110.0642065583
PRODUCT,0.7853981633974483,3.5,6,0.787109375,5385587.406153931,68396.5894550928
GHZ,0.7853981633974483,3.5,8,0.8818359375,7180783.208205242,35928.357766419336
PRODUCT,0.7853981633974483,3.5,8,0.771484375,7180783.208205242,74125.3886109674
GHZ,0.7853981633974483,3.5,10,0.8701171875,8975979.010256551,39750.67946532679
PRODUCT,0.7853981633974483,3.5,10,0.73828125,8975979.010256551,86694.40840569146
GHZ,0.7853981633974483,4.5,1,0.857421875,698131.7007977318,34183.380436519205
